Product ID,Product Name,Category,SKU,Unit Price,Current Unit Cost,Configured/Missing Status
00ac275d-aaaa-4ace-9492-a5b4fb7ae6b9,Asian Chicken,Salad,,365,,Missing
d7709889-18d6-4206-9946-25f34e4203fa,Balete Salpicao,Entree,,545,,Missing
d890d54e-9dbf-4c9b-9918-49b7c7af6bde,Baletea,Tea,,205,,Missing
6e4a5260-c868-4d25-be71-459ddf5c00a6,Baletea Freeze,Cocktail,,365,,Missing
69315e5c-fe13-4430-b4c2-a1a4f3034369,Batwan Beef Stew,Entree,,725,,Missing
1afebfcf-94ca-4b3d-93d1-8cff2a7eab3e,Beef and Shrimp Salpicao,Entree,,895,,Missing
9dae2126-4f0f-4783-a3a4-d3ae7b4bb29a,Beef Salpicao,Entree,,545,,Missing
1fedcebc-ad1c-4eec-93c4-5ec6769f76d7,Beer Caramel,Beer,,235,,Missing
0100a815-569b-4d65-a746-cd88c9c35319,Beer Peach,Beer,,235,,Missing
6a3d0313-4af2-436f-b1fa-4f21a8f20879,Bellagio Mochaccino,Coffee,,225,,Missing
3f766cae-60ac-4dd5-b21a-949ecbf904e3,Bone-In Porkchop,Entree,,1095,,Missing
6bd6b789-afd8-402e-857f-3dc797849dc7,Boozy Affogato,Boozy Coffee,,375,,Missing
21a2fbe7-2631-4e5e-b616-5aac0084ecc2,Bread Pudding,Dessert,,215,,Missing
04e38aba-19f2-4c8c-84c3-86e093d49c40,Bucket Assorted,Beer,,750,,Missing
7d273c4f-f879-4b92-a377-da8aeaf57645,Bucket Cerveza Negra,Beer,,750,,Missing
0c8d0678-c931-4973-bf35-e87eec794ed7,Bucket Light,Beer,,650,,Missing
9d091b45-77d5-4ade-abc2-c574ac9e98c2,Bucket Pilsen,Beer,,600,,Missing
e23bfd80-f3ec-4b4e-b0b3-00b567f37592,Bunwich Ala UTB,Entree,,375,,Missing
6d7f91c4-21e6-4f1a-b5f7-4d31fc3737f6,Butter Toast,Side Dish,,45,,Missing
3f8bcc46-0d4b-44ea-af45-1f00d14aa1cd,C3,Drinks,,245,,Missing
af97cf54-4974-4c48-b949-4266b3f3affb,Caesar,Salad,,365,,Missing
c2852fa4-375c-482e-8904-9486bc8e6b0a,Cajun Pasta,Pasta,,425,,Missing
6e8c5d58-2f9d-4303-a225-a6424906a583,Cappuccino,Coffee,,185,,Missing
33e97b72-f095-4f87-af50-ed3c84154f8b,Cerveza Negra,Beer,,150,,Missing
61e2d970-a1ff-4f6f-916f-64cca1dcce98,Chicharon,Appetizer,,145,,Missing
b41722b5-c31b-4030-a604-be0622918728,Chicken & Waffles,Entree,,425,,Missing
f4963d61-384d-4b87-b5c4-8a012522645c,Chicken Caesar Wrap,Burger/Wrap & More,,425,,Missing
c626d1fc-196f-4405-8584-5046100d69f1,Chicken in a Basket,Appetizer,,395,,Missing
ae19139a-2541-407c-821e-ab72fe55bf53,Chicken Parm,Entree,,495,,Missing
5e0f6c85-c42a-4568-95d3-6fb664a8b3c9,Chicken Rice,Entree,,405,,Missing
54baef8b-2745-4453-b692-999d0c31455b,Chixsig Nachos,Appetizer,,395,,Missing
8eef1ed5-4f30-442f-bf5f-444883adcf18,Classic Mojito,Cocktail,,295,,Missing
6935fa0a-be26-459a-b000-d0e2425bd0d8,Cocoa Wonka,Drinks,,245,,Missing
93332cfd-6ad0-49c3-9567-e02d2a13fd9e,Coke Regular,Drinks,,105,,Missing
8bc9a408-27a5-43be-8d74-baadc5457804,Coke Zero,Drinks,,105,,Missing
60007d9e-a083-4f06-a482-4e79351bf77b,Cold Water,Drinks,,65,,Missing
8c138c86-ce83-4240-b20d-d405e3616c14,Container,Packaging,,10,,Missing
5474985e-93a6-4d9b-97cb-247389ff6472,Dirty Matcha,Coffee,,225,,Missing
b03db139-b7bf-4243-a22d-8b65c22251ef,Dynamite Ala Carte,Appetizer,,155,,Missing
7ab9a9c1-c8e1-4c4c-9fdc-ba558eb16b79,Egg,Add-ons,,40,,Missing
