TransactionID,PaymentMethod,PaymentProvider,Amount
70053,Credit Card,Mastercard,₱773.39
70055,Cash,Cash,"₱1,805.25"
70057,Cash,Cash,₱239.64
70060,E-wallet,GCash,"₱1,753.75"
70062,Cash,Cash,"₱2,411.68"
70065,Cash,Cash,"₱2,020.62"
70067,Cash,Cash,"₱1,225.45"
70068,Cash,Cash,"₱1,203.66"
70069,E-wallet,GCash,₱644.86
70069,Credit Card,Mastercard,₱967.28
70071,Cash,Cash,"₱2,657.86"
70072,Cash,Cash,"₱1,410.62"
70075,Cash,Cash,"₱2,303.84"
70077,Credit Card,Mastercard,₱599.11
70080,Credit Card,Mastercard,₱980.36
70081,E-wallet,GCash,"₱1,514.11"
70083,E-wallet,GCash,"₱1,628.48"
70084,Cash,Cash,₱266.87
70085,E-wallet,GCash,₱274.50
70085,Credit Card,Mastercard,₱411.75
70086,Credit Card,Mastercard,"₱2,162.23"
70089,Cash,Cash,"₱1,606.70"
70091,E-wallet,GCash,₱490.18
70093,Credit Card,Mastercard,"₱3,022.77"
70094,E-wallet,GCash,₱834.39
70094,Credit Card,Mastercard,"₱1,251.59"
70097,Credit Card,Mastercard,"₱2,271.16"
70099,Cash,Cash,"₱2,385.54"
70102,Credit Card,Mastercard,"₱1,748.30"
70105,Credit Card,Mastercard,"₱1,470.54"
70106,Credit Card,Mastercard,"₱2,743.91"
70108,Credit Card,Mastercard,₱468.39
70110,Cash,Cash,"₱1,373.95"
70111,Cash,Cash,"₱2,303.84"
70114,E-wallet,GCash,"₱1,301.70"
70116,Credit Card,Mastercard,"₱1,824.55"
70119,E-wallet,GCash,"₱1,241.79"
70121,E-wallet,GCash,₱690.61
70121,Credit Card,Mastercard,"₱1,035.91"
70124,Credit Card,Mastercard,₱893.21
70126,Credit Card,Mastercard,"₱2,004.29"
70127,Credit Card,Mastercard,"₱1,895.36"
70130,E-wallet,GCash,"₱1,416.07"
70131,E-wallet,GCash,"₱2,015.18"
70132,Cash,Cash,"₱1,334.37"
70134,E-wallet,GCash,"₱1,759.20"
70135,Cash,Cash,"₱2,178.75"
70136,E-wallet,GCash,₱599.11
70139,E-wallet,GCash,"₱1,376.86"
70139,Credit Card,Mastercard,"₱2,065.28"
70142,E-wallet,GCash,₱889.28
70142,Credit Card,Mastercard,"₱1,333.93"
70145,Cash,Cash,"₱1,982.50"
70148,Cash,Cash,"₱1,680.75"
70149,Cash,Cash,"₱2,761.34"
70150,Credit Card,Mastercard,"₱2,383.36"
70153,Credit Card,Mastercard,"₱1,105.62"
70156,Credit Card,Mastercard,"₱2,194.91"
70159,E-wallet,GCash,"₱1,670.96"
70160,Cash,Cash,"₱1,993.39"
70162,Cash,Cash,"₱2,745.00"
70163,E-wallet,GCash,"₱2,630.62"
70164,Cash,Cash,"₱2,570.71"
70167,Cash,Cash,"₱2,494.46"
70170,E-wallet,GCash,"₱1,465.09"
70172,E-wallet,GCash,"₱1,851.79"
70175,E-wallet,GCash,"₱3,229.73"
70176,E-wallet,GCash,₱467.76
70176,Credit Card,Mastercard,₱701.65
70179,Credit Card,Mastercard,₱980.36
70181,E-wallet,GCash,"₱1,291.89"
70181,Credit Card,Mastercard,"₱1,937.84"
70182,Credit Card,Mastercard,"₱2,174.21"
70184,E-wallet,GCash,₱337.93
70184,Credit Card,Mastercard,₱506.89
70185,E-wallet,GCash,"₱1,170.98"
70188,Cash,Cash,"₱1,655.71"
70189,E-wallet,GCash,"₱2,200.36"
70190,E-wallet,GCash,₱919.36
70190,Credit Card,Mastercard,"₱1,379.03"
70191,E-wallet,GCash,"₱2,173.12"
70192,E-wallet,GCash,₱642.68
70193,E-wallet,GCash,₱799.54
70193,Credit Card,Mastercard,"₱1,199.30"
70195,Credit Card,Mastercard,"₱1,209.11"
70197,E-wallet,GCash,₱938.96
70197,Credit Card,Mastercard,"₱1,408.45"
70198,Credit Card,Mastercard,"₱1,541.34"
70199,Cash,Cash,"₱2,815.80"
70201,E-wallet,GCash,₱967.28
70201,Credit Card,Mastercard,"₱1,450.93"
70202,Cash,Cash,"₱2,761.34"
