TransactionID,ProductName,Category,Qty,UnitPrice,SalesAmount
70053,Trash Can,Dessert,1,₱395.00,₱395.00
70053,Squash Soup,Soup,1,₱315.00,₱315.00
70055,Sausage Diablo,Appetizer,1,₱325.00,₱325.00
70055,Batwan Beef Stew,Entree,1,₱725.00,₱725.00
70055,Bunwich Ala UTB,Entree,1,₱375.00,₱375.00
70055,Coke Zero,Drinks,2,₱105.00,₱210.00
70055,Chicken in a Basket,Appetizer,1,₱395.00,₱395.00
70057,Creme Brulee,Dessert,1,₱245.00,₱245.00
70057,Mug Root Beer,Beer,1,₱105.00,₱105.00
70057,Ginger Ale,Beer,1,₱115.00,₱115.00
70057,Matchaholic,Matcha,1,₱0.00,₱0.00
70060,BaleteHeat,Cocktail,2,₱0.00,₱0.00
70060,Cold Water,Drinks,2,₱65.00,₱130.00
70060,Yogi Tea,Tea,1,₱0.00,₱0.00
70060,Bucket Light,Beer,1,₱650.00,₱650.00
70060,Vegetable Arrabbiata,Pasta,2,₱415.00,₱830.00
70062,Bellagio Mochaccino,Coffee,2,₱225.00,₱450.00
70062,Mango Shake,Shake,2,₱225.00,₱450.00
70062,Good Morning Sunshine,Breakfast,1,₱199.00,₱199.00
70062,Salmon Rice,Entree,1,₱665.00,₱665.00
70062,Bellagio Mochaccino,Coffee,2,₱225.00,₱450.00
70065,Under the Summer Sun,Cocktail,1,₱335.00,₱335.00
70065,Chixsig Nachos,Appetizer,2,₱395.00,₱790.00
70065,Cerveza Negra,Beer,2,₱150.00,₱300.00
70065,Mango Tapioca,Dessert,2,₱245.00,₱490.00
70067,Baletea Freeze,Cocktail,2,₱365.00,₱730.00
70067,Grilled Tuna,Entree,1,₱395.00,₱395.00
70068,Lychee Shake,Shake,1,₱225.00,₱225.00
70068,Cerveza Negra,Beer,2,₱150.00,₱300.00
70068,Cappuccino,Coffee,2,₱185.00,₱370.00
70068,Glass Baletea,Tea,2,₱105.00,₱210.00
70069,Creme Brulee,Dessert,1,₱245.00,₱245.00
70069,Truffle Pasta,Pasta,2,₱435.00,₱870.00
70069,Caesar,Salad,1,₱365.00,₱365.00
70071,Surf & Turf,Entree,1,"₱1,195.00","₱1,195.00"
70071,Chicharon,Appetizer,1,₱145.00,₱145.00
70071,Red Sangria,Cocktail,2,₱345.00,₱690.00
70071,Hazelnut Macchiato,Coffee,2,₱205.00,₱410.00
70072,K. Pork Bowl,Entree,2,₱595.00,"₱1,190.00"
70072,Chicken & Waffles,Entree,1,₱425.00,₱425.00
70072,Mug Root Beer,Beer,1,₱105.00,₱105.00
70075,San Mig Light,Beer,2,₱130.00,₱260.00
70075,Truffle Pasta,Pasta,2,₱435.00,₱870.00
70075,Mac & Cheese,Pasta,2,₱0.00,₱0.00
70075,Under the Summer Sun,Cocktail,1,₱335.00,₱335.00
70075,Sausage Skillet (Angel),Appetizer,2,₱325.00,₱650.00
70077,Free Chicharon,Promos & Freebies,2,₱0.00,₱0.00
70077,SOP,Pizza,1,₱425.00,₱425.00
70077,Coke Regular,Drinks,1,₱125.00,₱125.00
70077,San Mig Pilsen,Beer,2,₱0.00,₱0.00
70080,Lychee Shake,Shake,2,₱225.00,₱450.00
70080,Free Pudding,Promos & Freebies,1,₱0.00,₱0.00
70080,Cerveza Negra,Beer,1,₱150.00,₱150.00
70080,Honey Lemon J,Drinks,2,₱135.00,₱270.00
70081,Lychee Shake,Shake,2,₱225.00,₱450.00
70081,Cerveza Negra,Beer,1,₱150.00,₱150.00
70081,Trash Can,Dessert,2,₱395.00,₱790.00
70083,Caesar,Salad,2,₱365.00,₱730.00
70083,Vegetable Arrabbiata,Pasta,1,₱415.00,₱415.00
70083,Mug Root Beer,Beer,1,₱105.00,₱105.00
70083,C3,Drinks,1,₱245.00,₱245.00
70084,Latte,Coffee,1,₱185.00,₱185.00
70084,Free Pudding,Promos & Freebies,2,₱0.00,₱0.00
