TransactionID,InvoiceNo,Date,Time,GuestCount,OrderType,SalesChannel,GrossSales,ServiceCharge,DiscountType,DiscountAmount,AmountDue,NetSales
79631,002-000032617,30/06/2026,23:47:08,3,Dine In,Walk-in,"₱2,110.00",₱188.42,nan,₱0.00,"₱2,298.42","₱2,298.42"
79628,002-000032616,30/06/2026,23:05:56,2,Dine In,Walk-in,"₱1,470.00",₱131.25,nan,₱0.00,"₱1,601.25","₱1,601.25"
79627,002-000032615,30/06/2026,22:31:19,5,Dine In,Walk-in,"₱3,455.00",₱308.50,nan,₱0.00,"₱3,763.50","₱3,763.50"
79624,002-000032614,30/06/2026,21:56:43,4,Dine In,Walk-in,"₱2,780.00",₱248.22,nan,₱0.00,"₱3,028.22","₱3,028.22"
79622,002-000032613,30/06/2026,21:14:38,2,Dine In,Walk-in,"₱1,365.00",₱121.88,nan,₱0.00,"₱1,486.88","₱1,486.88"
79620,002-000032612,30/06/2026,20:42:11,3,Dine In,Walk-in,"₱2,045.00",₱182.61,nan,₱0.00,"₱2,227.61","₱2,227.61"
79617,002-000032611,30/06/2026,20:06:21,2,Dine In,Walk-in,"₱1,560.00",₱139.39,nan,₱0.00,"₱1,699.39","₱1,699.39"
79614,002-000032610,30/06/2026,18:28:55,4,Dine In,Walk-in,"₱2,870.00",₱256.29,nan,₱0.00,"₱3,126.29","₱3,126.29"
79613,002-000032609,30/06/2026,17:41:32,3,Dine In,Walk-in,"₱2,110.00",₱188.42,nan,₱0.00,"₱2,298.42","₱2,298.42"
79610,002-000032608,30/06/2026,16:19:47,1,Dine In,Walk-in,₱925.00,₱82.60,nan,₱0.00,"₱1,007.60","₱1,007.60"
79608,002-000032607,30/06/2026,15:02:14,2,Dine In,Walk-in,"₱1,300.00",₱116.09,nan,₱0.00,"₱1,416.09","₱1,416.09"
79606,002-000032606,30/06/2026,13:41:27,2,Dine In,Walk-in,"₱1,430.00",₱127.70,nan,₱0.00,"₱1,557.70","₱1,557.70"
79603,002-000032605,30/06/2026,12:54:48,4,Dine In,Walk-in,"₱2,540.00",₱226.82,nan,₱0.00,"₱2,766.82","₱2,766.82"
